timestamp_coleta,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,stop_sequence,stop_id,arrival_delay,departure_delay
2026-04-21 07:55:09,8501  011080490710,8501,0,07:10:00,20260421,11472,Engenho Nogueira,34,14790384,,659
2026-04-21 07:55:09,2662065S307679P072200,634,0,07:22:00,20260421,11474,Jardim Dos Comerciarios,29,15282968,,728
2026-04-21 07:55:09,2661889S307679P063800,3302A,0,06:38:00,20260421,11473,Nova Pampulha (Via Hospitais),66,14791438,,-462
2026-04-21 07:55:09,2662065S307679P074900,634,0,07:49:00,20260421,11477,Jardim Dos Comerciarios,13,14789874,,-31
2026-04-21 07:55:09,2662155S307679P065500,1404C,1,06:55:00,20260421,11479,Palmeiras,51,14791273,,1011
2026-04-21 07:55:09,2662164S307679P073100,63,0,07:31:00,20260421,11448,Estação Venda Nova,15,14791959,,55
2026-04-21 07:55:09,2662374S307679P072100,614,0,07:21:00,20260421,11442,Ceu Azul,32,14787948,,545
2026-04-21 07:55:09,2661914S307679P074700,62,0,07:47:00,20260421,11447,Estação Venda Nova (Direta),6,14790182,,64
2026-04-21 07:55:09,2035  011080070740,2035,0,07:40:00,20260421,31040,Bairro Das Industrias-4A Secao,29,14788423,,-637
2026-04-21 07:55:09,2662094S307679P071900,736,0,07:19:00,20260421,11452,Estação Vilarinho,24,15276971,,1022
2026-04-21 07:55:09,8106  012080550710,8106,1,07:10:00,20260421,11457,Santa Cruz,29,14792822,,962
2026-04-21 07:55:09,3052  011080480648,3052,0,06:48:00,20260421,31035,Estação Diamante,80,14788847,,-441
2026-04-21 07:55:09,2662322S307679P072500,64,0,07:25:00,20260421,11422,Estação Venda Nova,23,14791094,,97
2026-04-21 07:55:09,9209  011080400740,9209,0,07:40:00,20260421,31039,Gutierrez,22,14790591,,-347
2026-04-21 07:55:09,328   011080460700,328,0,07:00:00,20260421,31021,Estação Barreiro,78,15140071,,340
2026-04-21 07:55:09,328   011080460720,328,0,07:20:00,20260421,31020,Estação Barreiro,34,14789706,,753
2026-04-21 07:55:09,2661859S307679P073900,64,0,07:39:00,20260421,11430,Estação Venda Nova (Retorno Avenida Dom Pedro II),12,14787630,,44
2026-04-21 07:55:09,3052  011080480706,3052,0,07:06:00,20260421,31029,Estação Diamante,43,14792709,,545
2026-04-21 07:55:09,3501A 122080180740,3501A,1,07:40:00,20260421,31013,Jardim Alvorada (Via Fernao Dias),15,14784770,,308
2026-04-21 07:55:09,2662459S307679P070600,8001A,0,07:06:00,20260421,31010,BH Shopping,48,14786153,,509
2026-04-21 07:55:09,9411  012080280700,9411,1,07:00:00,20260421,31017,Casa Branca,59,14792610,,77
2026-04-21 07:55:09,2661937S307679P073900,4405,0,07:39:00,20260421,41280,Coqueiros,11,14786882,,576
2026-04-21 07:55:09,2661937S307679P071900,4405,0,07:19:00,20260421,40747,Coqueiros,46,14784495,,325
2026-04-21 07:55:09,2662190S307679P073900,8405,0,07:39:00,20260421,40739,Bela Vista,15,14793102,,392
2026-04-21 07:55:09,2662190S307679P071900,8405,0,07:19:00,20260421,40735,Bela Vista,51,14789748,,-271
2026-04-21 07:55:09,2662330S307679P073000,304,0,07:30:00,20260421,11383,Estação Diamante,2,14790213,,1383
2026-04-21 07:55:09,2662445S307679P072300,51,0,07:23:00,20260421,11391,Estação Pampulha,18,14793331,,91
